feature,n_high_angle,n_high_angle_y_below_30,mean_y_below_30,mean_y_at_least_30,global_sd,standardized_mean_difference_low_minus_other,spearman_vs_y_within_high_angle,abs_standardized_mean_difference
Mg_count_diff_H3_H6_d5,41,9,-1.6666666666666667,-2.8125,3.274749135499159,0.34989957579107134,0.48960928513320445,0.34989957579107134
max_invd_LH6_d3,41,9,0.16414587772012876,0.0846957290710844,0.23007188362068184,0.34532750112149013,-0.39107137413733295,0.34532750112149013
top3_invd_LH6_d3,41,9,0.14544020432316898,0.08007169573294601,0.20678080270318866,0.31612464859251155,-0.39034984023671054,0.31612464859251155
top3_invd_diff_H3_H6_d3,41,9,-0.02542347180396347,-0.08007169573294601,0.19659043258679915,0.27798007873477826,0.35956439381015537,0.27798007873477826
first_invd_LH3_atomMg,41,9,0.2222222222222222,0.09375,0.5013382716811872,0.25625855730384123,-0.0818958694562812,0.25625855730384123
first_invd_LH3_atomO,41,9,0.7777777777777778,0.90625,0.5013382716811872,-0.25625855730384123,0.0818958694562812,0.25625855730384123
max_invd_diff_H3_H6_d3,41,9,-0.043302453252912,-0.0846957290710844,0.2153563812542735,0.19220826230962215,0.36028592771077783,0.19220826230962215
first_invd_LH6_atomO,41,9,0.0,0.0625,0.5013382716811872,-0.12466632517484168,0.12440875649988122,0.12466632517484168
invd_sum_diff_H3_H6_d3,41,9,-0.3115414985212902,-0.23417313795163203,0.6821798849486769,-0.11341342991296044,0.3706279136196987,0.11341342991296044
O_count_diff_H3_H6_d3,41,9,-0.3333333333333333,-0.25,0.7924328855973373,-0.10516137687864444,0.3191916615772303,0.10516137687864444
Mg_count_diff_H3_H6_d3,41,9,-0.3333333333333333,-0.28125,0.8787430506766047,-0.05927026483251364,0.3727986870132781,0.05927026483251364
