file_key,series_prefix_candidate,series_step_candidate,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,dot_C3H3_C6H6,dot_xy_C3H3_C6H6,axis_abs_z_component_proxy,axis_abs_elevation_deg_proxy,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin
0-0-3-11-11,0-0-3-11,11,43.68,-141.74233605331148,38.257663946688524,38.702078729460474,38.4798713380745,0.444414782771932,179.5555852172282,-0.99996001558692,-0.791668216287922,0.4563899640647217,27.15440268061748,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
0-0-3-11-12,0-0-3-11,12,43.11,-139.3266186133601,40.6733813866399,41.15792766519637,40.915654525918136,0.48454627855644616,179.51545372144372,-0.99996001558692,-0.763992155936617,0.4857652310018731,29.062620432366394,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
0-0-3-11-13,0-0-3-11,13,42.95,-136.67299949777842,43.327000502221566,43.84941041793302,43.58820546007729,0.5224099157114395,179.4775900842884,-0.99996001558692,-0.738341547483839,0.5114865277825811,30.762897431830524,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-3-11-14,0-0-3-11,14,43.3,-133.79424626379648,46.205753736203526,46.76242631464236,46.484090025422944,0.5566725784388152,179.4433274215612,-0.99996001558692,-0.715489084837986,0.533358163665781,32.232634486458814,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-3-11-15,0-0-3-11,15,44.14,-130.7109967629272,49.289003237072784,49.87485133928765,49.58192728818022,0.5858481022148432,179.41415189778493,-0.99996001558692,-0.696123442438285,0.5512137272861001,33.45031963783502,"[30,50)","[30,50)","[30,50)","[0.5,3.1]"
0-0-3-11-16,0-0-3-11,16,45.38,-127.45253919193851,52.54746080806149,53.15588563725626,52.85167322265888,0.6084248291947421,179.3915751708052,-0.99996001558692,-0.680828393504911,0.5649173586304541,34.396552742601926,"[50,70]","[50,70]","[50,70]","[0.5,3.1]"
0-0-3-11-8,0-0-3-11,8,46.3,-147.52443524590024,32.47556475409975,32.79575824266748,32.63566149838361,0.3201934885677071,179.6798065114323,-0.99996001558692,-0.878365914878018,0.348703456691932,20.40803322661173,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
0-0-3-11-9,0-0-3-11,9,45.43,-145.84048681029097,34.15951318970904,34.52102637033683,34.340269780022936,0.3615131806277775,179.63848681937213,-0.99996001558692,-0.849728215682976,0.3875974714880685,22.80508942629734,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
0-0-3-14-17,0-0-3-14,17,39.98,-122.08199424205849,57.91800575794151,58.462368662223916,58.19018721008272,0.5443629042823691,179.45563709571724,-0.99996001558692,-0.88119641695028,0.34462094921324804,20.158658821326366,"[50,70]","[50,70]","[50,70]","[0.5,3.1]"
0-0-3-14-18,0-0-3-14,18,43.62,-120.27079987195904,59.72920012804096,60.275823575649206,60.002511851845085,0.5466234476082101,179.45337655239138,-0.99996001558692,-0.878205695829176,0.34893311645320235,20.422073634422915,"[50,70]","[50,70]","[50,70]","[0.5,3.1]"
