R2,RMSE,MAE,corr2,n,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,NLPD,model,test_tag,representation,include_xy,drop_constant_features,kernel_family,ard,matern_nu,optimizer_restarts,optimized_kernel,signal_variance,noise_variance,length_scale_count,length_scale_min,length_scale_median,length_scale_max,length_scales_at_lower_bound,length_scales_at_upper_bound,length_scales_at_upper_fraction,log_marginal_likelihood
0.9900915394130628,0.0002210308895726848,0.00016718316405578616,0.991592154969395,55,1.0,0.0018775134496885292,1.0,0.0035673341219490586,1.0,0.004578623776673496,1.0,0.0054557667344971444,-5.6496431619609275,dist_auto_full_xmat_matern12,15,full,False,False,matern,False,0.5,0,"4.23**2 * Matern(length_scale=1e+03, nu=0.5) + WhiteKernel(noise_level=1e-06)",17.86351150314085,1.0000000000000004e-06,1.0,999.9999999999998,999.9999999999998,999.9999999999998,0.0,1.0,1.0,-11.257443357981657
0.9861175260951486,0.00024348844457191935,0.00017758281520365143,0.9886819374799877,55,1.0,0.001883832094422404,1.0,0.0035793397440485246,1.0,0.004594032825817549,1.0,0.005474127749035761,-5.644553365929207,dist_auto_full_xmat_matern12,20,full,False,False,matern,False,0.5,0,"4.18**2 * Matern(length_scale=1e+03, nu=0.5) + WhiteKernel(noise_level=1e-06)",17.433190051114156,1.0000000000000004e-06,1.0,999.9999999999998,999.9999999999998,999.9999999999998,0.0,1.0,1.0,-8.102770481337103
0.8554378134156408,0.0007659670414366088,0.0006462678543844251,0.9771742489157104,55,0.8181818181818182,0.0022829944438702726,1.0,0.004337760659551932,1.0,0.005567455532450124,1.0,0.006634032445400351,-5.358873612019011,dist_auto_full_xmat_matern12,25,full,False,False,matern,False,0.5,0,"4.11**2 * Matern(length_scale=1e+03, nu=0.5) + WhiteKernel(noise_level=1e-06)",16.89684573079333,1.0000000000000004e-06,1.0,999.9999999999998,999.9999999999998,999.9999999999998,0.0,1.0,1.0,0.8106906316257039
-0.02507503092157748,0.00690387326491825,0.002603703903720676,0.06762191184636714,330,0.7303030303030303,0.002816095668204991,0.8575757575757575,0.005350669615457175,0.8939393939393939,0.006867510102774304,0.9151515151515152,0.008183143013065023,-3.7054721846833396,dist_auto_full_xmat_matern12,ALL_OOF,full,False,False,matern,False,0.5,0,per-fold,,,,,,,,,,
0.5152382973662719,0.0018235800837077686,0.0014579524183813788,0.7442356227949771,55,0.2727272727272727,0.0015864359943589998,0.6181818181818182,0.003014277876892921,0.7818181818181819,0.003868783770975269,0.8363636363636363,0.004609940198227922,-4.678901921096321,dist_auto_full_xmat_matern32,a,full,False,False,matern,False,1.5,0,"7.56**2 * Matern(length_scale=114, nu=1.5) + WhiteKernel(noise_level=1e-06)",57.220644763376654,1.0000000000000004e-06,1.0,114.0942648611023,114.0942648611023,114.0942648611023,0.0,0.0,0.0,338.20152322853403
-0.6491007540065779,0.016907074658194132,0.012161473408055078,0.41267066157107385,55,0.5818181818181818,0.02208426206403548,0.8181818181818182,0.04196078682268211,0.8727272727272727,0.05385608683306951,0.9090909090909091,0.0641734855986625,-2.650875791338475,dist_auto_full_xmat_matern32,b,full,False,False,matern,False,1.5,0,"6.77**2 * Matern(length_scale=118, nu=1.5) + WhiteKernel(noise_level=1e-06)",45.84984703111544,1.0000000000000004e-06,1.0,118.14445814031927,118.14445814031927,118.14445814031927,0.0,0.0,0.0,264.84322037280106
0.9781861298512,0.00036578453809836087,0.0002966688168232009,0.9799484768764252,55,0.45454545454545453,0.00045827964363805694,0.7272727272727273,0.000870745618581804,0.8909090909090909,0.0011175899022586287,0.9272727272727272,0.0013316905054781363,-6.430682969886996,dist_auto_full_xmat_matern32,10,full,False,False,matern,False,1.5,0,"7.02**2 * Matern(length_scale=98.6, nu=1.5) + WhiteKernel(noise_level=1e-06)",49.291269631237746,1.0000000000000004e-06,1.0,98.55050081548913,98.55050081548913,98.55050081548913,0.0,0.0,0.0,291.9996606686576
0.9935829780516084,0.00017787570763474092,0.0001425957013733159,0.9950920248809172,55,0.6,0.0004023259884767628,0.9090909090909091,0.0007644319283455134,0.9818181818181818,0.000981137758091144,1.0,0.0011690977471928864,-7.080615084207244,dist_auto_full_xmat_matern32,15,full,False,False,matern,False,1.5,0,"7.42**2 * Matern(length_scale=99.7, nu=1.5) + WhiteKernel(noise_level=1e-06)",54.99047583842699,1.0000000000000004e-06,1.0,99.7395811904809,99.7395811904809,99.7395811904809,0.0,0.0,0.0,275.65436097020347
0.9954137873321189,0.00013994971464117832,0.00011587754562882655,0.9963669462867485,55,0.7090909090909091,0.0003699720608039577,1.0,0.0007029584565121071,1.0,0.0009022374111796183,1.0,0.0010750821850903087,-7.181990924776255,dist_auto_full_xmat_matern32,20,full,False,False,matern,False,1.5,0,"6.72**2 * Matern(length_scale=93.3, nu=1.5) + WhiteKernel(noise_level=1e-06)",45.12806716182179,1.0000000000000004e-06,1.0,93.26227789092734,93.26227789092734,93.26227789092734,0.0,0.0,0.0,275.9329314033687
0.9838826801596947,0.0002557579491611847,0.00021922023404496196,0.9907354001635236,55,0.7454545454545455,0.0006522155825276005,1.0,0.0012392299521495173,1.0,0.0015905344242264855,1.0,0.0018952386623196078,-6.593796513482241,dist_auto_full_xmat_matern32,25,full,False,False,matern,False,1.5,0,"6.9**2 * Matern(length_scale=97.3, nu=1.5) + WhiteKernel(noise_level=1e-06)",47.67878571424132,1.0000000000000004e-06,1.0,97.32532470919325,97.32532470919325,97.32532470919325,0.0,0.0,0.0,299.86929264467005
-0.03742069374002277,0.006945322814267546,0.00239896468738446,0.05177058701077279,330,0.5606060606060606,0.004258915222306808,0.8454545454545455,0.008092071775860663,0.9212121212121213,0.01038606168330011,0.9454545454545454,0.012375755816161892,-5.7694772007979225,dist_auto_full_xmat_matern32,ALL_OOF,full,False,False,matern,False,1.5,0,per-fold,,,,,,,,,,
0.41424817765515887,0.0020045528620289957,0.0016189847754310498,0.606794960306271,55,0.3090909090909091,0.001398871681210053,0.4909090909090909,0.0026578998309901456,0.5272727272727272,0.0034113775010059825,0.5818181818181818,0.004064907010621949,-3.0073063471615074,dist_auto_full_xmat_rbf_iso,a,full,False,False,rbf,False,,0,1.27**2 * RBF(length_scale=10.1) + WhiteKernel(noise_level=4.62e-05),1.6238721634533377,4.6245979637656364e-05,1.0,10.125406032941358,10.125406032941358,10.125406032941358,0.0,0.0,0.0,410.66195881122917
-0.512663188823042,0.016192577877493057,0.011634833057851233,1.243543558110292e-29,55,0.12727272727272726,0.0032233779426971724,0.2,0.00612451864183939,0.2545454545454545,0.007860734575343021,0.34545454545454546,0.00936664296886742,17.843234872825402,dist_auto_full_xmat_rbf_iso,b,full,False,False,rbf,False,,0,0.95**2 * RBF(length_scale=10.1) + WhiteKernel(noise_level=0.000139),0.9034006381480449,0.00013877977710602307,1.0,10.050406542152064,10.050406542152064,10.050406542152064,0.0,0.0,0.0,300.99736020506487
0.9822714861853631,0.0003297578530910001,0.00026838821520494804,0.9838106833817908,55,0.2909090909090909,0.00026337071887033746,0.43636363636363634,0.0005004125814940348,0.5454545454545454,0.0006422725950108999,0.6,0.0007653150005885496,-5.153477345683089,dist_auto_full_xmat_rbf_iso,10,full,False,False,rbf,False,,0,1.23**2 * RBF(length_scale=9.32) + WhiteKernel(noise_level=9.59e-05),1.5224623579563092,9.592496768669899e-05,1.0,9.317661382419805,9.317661382419805,9.317661382419805,0.0,0.0,0.0,324.7286091510882
0.9942341245871973,0.00016860968051969012,0.0001403990945177998,0.9952839717008243,55,0.38181818181818183,0.0002873768710862411,0.5636363636363636,0.0005460250195571033,0.7090909090909091,0.0007008155254705532,0.8181818181818182,0.000835073204826463,-6.828209073914017,dist_auto_full_xmat_rbf_iso,15,full,False,False,rbf,False,,0,1.25**2 * RBF(length_scale=8.98) + WhiteKernel(noise_level=0.000106),1.5529904934889731,0.00010620237639972648,1.0,8.979048263813356,8.979048263813356,8.979048263813356,0.0,0.0,0.0,300.0327496480527
0.9925038321809964,0.00017892234141849984,0.00014718210021101246,0.9934139817321547,55,0.43636363636363634,0.00027200885816355076,0.6727272727272727,0.0005168253156110344,0.7636363636363637,0.0006633381111917214,0.8363636363636363,0.0007904161113218357,-6.880099951756519,dist_auto_full_xmat_rbf_iso,20,full,False,False,rbf,False,,0,1.25**2 * RBF(length_scale=8.95) + WhiteKernel(noise_level=0.000111),1.56403009336433,0.00011077260621375941,1.0,8.9517889403421,8.9517889403421,8.9517889403421,0.0,0.0,0.0,296.2665917464234
0.9566884598638403,0.0004192610737793584,0.00033419944964345043,0.9665741103546681,55,0.4909090909090909,0.0005630953665611458,0.6545454545454545,0.0010698987617788998,0.7272727272727273,0.0013732001942778364,0.7818181818181819,0.0016362689544212985,-5.705127617084948,dist_auto_full_xmat_rbf_iso,25,full,False,False,rbf,False,,0,1.23**2 * RBF(length_scale=8.75) + WhiteKernel(noise_level=7.75e-05),1.5028780145922422,7.747006440978536e-05,1.0,8.745997123395906,8.745997123395906,8.745997123395906,0.0,0.0,0.0,325.09046601458624
0.04452730295679841,0.00666536786948817,0.0023573311154765826,0.09562559563629354,330,0.3393939393939394,0.0010013502397647502,0.503030303030303,0.0019025966918784349,0.5878787878787879,0.002441956417050002,0.6606060606060606,0.002909770541774586,-1.6218309104624458,dist_auto_full_xmat_rbf_iso,ALL_OOF,full,False,False,rbf,False,,0,per-fold,,,,,,,,,,
