token_position,token_value,n,y_mean,y_std,axis_angle_deg_mean,axis_angle_deg_std,axis_abs_elevation_deg_proxy_mean,axis_abs_elevation_deg_proxy_std,antiparallel_deviation_deg_mean,antiparallel_deviation_deg_std,Mg_H3_count_d5_mean,Mg_H3_count_d5_std,O_H3_count_d5_mean,O_H3_count_d5_std,Mg_H6_count_d5_mean,Mg_H6_count_d5_std,O_H6_count_d5_mean,O_H6_count_d5_std,first_Mg_H3_d5_mean,first_Mg_H3_d5_std,first_O_H3_d5_mean,first_O_H3_d5_std
4,9,11,44.29545454545455,2.0797901992093517,48.05843200155568,8.640725281926866,42.88972602914003,2.7594941402275635,0.6594540764407317,0.07601239640852261,1.0909090909090908,1.044465935734187,1.0,0.8944271909999159,10.181818181818182,3.341202831861059,10.545454545454545,4.033946860424326,5.318181818181818,0.6660603303277892,5.163636363636363,0.6686145784721228
4,10,6,47.731666666666676,3.4255359677963777,22.386817976772136,0.47459340751616086,4.7966381171621935,4.050499482206843,0.07317261103459716,0.056571750258999534,3.6666666666666665,3.265986323710904,3.6666666666666665,3.6696957185394363,4.666666666666667,3.1411250638372654,4.666666666666667,3.1411250638372654,4.183333333333333,0.9416297927883689,4.066666666666666,0.9806460455570433
4,11,16,45.62625,1.7653361341871037,45.28663959442285,7.894030752835806,30.356755138569884,4.505218568211761,0.518546020716472,0.09533388890914163,0.375,0.6191391873668903,0.5,0.9660917830792959,5.6875,3.3807050546693165,5.5625,3.2653483734511393,5.596875,0.6259575997355306,5.69375,0.5546395225729952
4,12,2,47.754999999999995,0.0070710678118640685,32.05221247388669,0.04339506203140756,1.2242517544158966,0.5067722225727969,0.03500424178159492,0.027291609964548585,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.7071067811865476,6.0,0.0
4,13,17,36.92176470588235,14.0530349192328,40.68222662625056,3.4496431150493705,11.891349663623286,6.068021963162333,0.2797996679874063,0.12339064325827358,4.823529411764706,4.544712506276484,3.411764705882353,3.4288996691615914,7.823529411764706,4.347920395396618,7.411764705882353,3.3365180864452797,3.9558823529411766,1.5017575487721437,4.411764705882353,1.4537160799745148
4,14,2,41.8,2.5738686835190334,59.096349530963906,1.2815070439016496,20.290366227874642,0.18626240060555696,0.5454931759452897,0.0015984455148681798,2.0,0.0,2.0,0.0,7.0,0.0,7.0,0.0,4.574999999999999,0.03535533905932725,4.4,0.0
4,15,11,45.88181818181818,1.4555742384489914,47.970064411207254,1.2515641219581877,4.975922528296468,2.9737394228249823,0.22797158596050407,0.09350419825139734,2.1818181818181817,3.027149874657078,1.4545454545454546,2.018099916438052,2.8181818181818183,3.341202831861059,2.0,2.6076809620810595,5.045454545454546,1.3256044933264495,5.140909090909091,1.1928575316898038
4,16,8,31.4475,17.71680054153603,57.33411532148684,1.8516775366082243,9.232350398930866,1.0402454212092394,0.49051353229791517,0.033137661685967205,3.625,3.6228441865473595,3.75,3.5355339059327378,6.625,3.6228441865473595,6.625,3.6228441865473595,4.1,1.0643576198144789,4.043749999999999,1.0164495279437848
4,17,4,47.505,0.17406895185529198,56.889921523314094,0.15078690274810508,0.841492634755513,0.6770983303009176,0.08177140428747487,0.05659952073673699,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,4.15,0.04082482904638652,4.1,0.04082482904638652
4,18,15,32.58333333333333,19.067622395294173,60.357472646203256,0.23151426169296985,0.5135501507857946,0.330161057078881,0.45245453757734494,0.05751993839239815,2.8,3.098386676965934,3.2666666666666666,3.614784456460256,3.2666666666666666,3.614784456460256,2.8,3.098386676965934,4.739999999999999,1.3942740046346702,4.663333333333333,1.4791970151145553
5,0,9,44.833333333333336,10.281483356014347,10.416230749852424,25.739075352467506,1.5825938295131776,3.456494983959924e-13,0.015706159306172737,1.821541781215523e-13,4.666666666666667,3.7416573867739418,4.666666666666667,3.9370039370059056,4.333333333333333,3.905124837953327,5.0,4.47213595499958,3.783333333333333,1.2424773639789177,3.933333333333334,1.3720422734012243
5,1,9,45.63333333333333,8.459262674725263,12.03646831473095,27.00226021299106,2.108519481905349,1.1309954555162285,0.04150028661846701,0.014724473912777427,4.222222222222222,3.9930495169036466,4.111111111111111,3.5862391318916687,4.555555555555555,4.126472801046649,5.111111111111111,4.196559437338057,4.027777777777778,1.366361754603972,4.138888888888889,1.2368755439053323
5,2,9,47.85999999999999,2.9846021510412415,15.452067723531066,27.40544767230805,5.116109605557197,3.012175408954505,0.07076596779326727,0.02845210858754109,3.7777777777777777,3.865804501581067,3.7777777777777777,3.2702361450580972,4.666666666666667,4.123105625617661,5.222222222222222,3.9616214413349042,4.211111111111112,1.2616402463107743,4.25,1.220911544707478
5,3,10,47.336,2.8909483257613284,20.332248292927144,26.739540446655305,7.466864906316395,4.801922776901125,0.10605691159436817,0.040861167420217025,3.7,3.4657049948186747,3.2,2.8205594401741574,5.1,4.094712037087183,5.4,3.6575644598253874,4.2700000000000005,1.1804424782446812,4.42,1.2227473619317735
5,4,10,46.906,3.6679912758892983,12.755810638297458,26.600644185651916,12.2480273353281,5.769649854325343,0.12117303408952573,0.05887652034892215,2.5,3.13581462037113,2.5,2.6770630673681683,5.1,4.2282121254470875,5.2,4.049691346263317,4.68,1.3008971263452513,4.720000000000001,1.240340455054355
