feature,n_unique,spearman_vs_axis_angle,spearman_vs_y_all_samples,abs_spearman_vs_axis_angle
O_count_sum_H3_H6_d3,6,-0.19484391770099668,-0.5405464182413604,0.19484391770099668
top3_invd_diff_H3_H6_d10,170,0.19468802824171702,0.2955019959331011,0.19468802824171702
invd_sum_total_H3_H6_d3,68,-0.19345778985200124,-0.5847273570101633,0.19345778985200124
max_invd_LH6_d3,66,-0.1913142294407801,-0.583530686388747,0.1913142294407801
Mg_count_diff_H3_H6_d7,34,0.18796526630774468,0.15617807152602742,0.18796526630774468
max_invd_LH6_d10,170,-0.18558437309982567,-0.6475736034882548,0.18558437309982567
max_invd_LH6_d7,170,-0.18558437309982567,-0.6475736034882548,0.18558437309982567
first_invd_LH6,170,-0.18499814362999636,-0.6475174234728266,0.18499814362999636
first_invd_LH6_d,65,0.18322398430606057,0.6496939886459446,0.18322398430606057
max_invd_LH6_d5,156,-0.18271938341411048,-0.6461287330113161,0.18271938341411048
max_invd_diff_H3_H6_d3,68,0.17921309394756305,0.4477892843231301,0.17921309394756305
top3_invd_LH6_d3,66,-0.17904653886395608,-0.5831437435951079,0.17904653886395608
top3_invd_diff_H3_H6_d7,170,0.17892578337168083,0.20530986638201093,0.17892578337168083
O_H6_count_d3,4,-0.1740297180554738,-0.5366457636567951,0.1740297180554738
sum_invd_LH6_d3,66,-0.1694776843375106,-0.587352619541804,0.1694776843375106
top3_invd_diff_H3_H6_d3,68,0.1603591274578093,0.4678702479420078,0.1603591274578093
sum_invd_LH6_d10,170,-0.15882299780211662,-0.6573672457429933,0.15882299780211662
O_H6_count_d7,30,-0.15628593638132904,-0.674202692980461,0.15628593638132904
O_H6_count_d5,15,-0.14835184000508475,-0.6443988815958717,0.14835184000508475
Mg_count_diff_H3_H6_d5,15,0.1479568969039876,0.3543441703167248,0.1479568969039876
Mg_H6_count_d10,48,-0.14342238586569792,-0.6569345508794897,0.14342238586569792
sum_invd_LH6_d7,170,-0.1365108599181331,-0.6739305798568186,0.1365108599181331
Mg_H6_count_d7,31,-0.1299582076772995,-0.6528069040633888,0.1299582076772995
top3_invd_LH6_d5,156,-0.12419122188589818,-0.6728233704462426,0.12419122188589818
invd_sum_diff_H3_H6_d3,68,0.12047397892538234,0.47916483779730457,0.12047397892538234
top3_invd_LH6_d10,170,-0.11919632826444464,-0.6788377820739953,0.11919632826444464
top3_invd_LH6_d7,170,-0.11919632826444464,-0.6788377820739953,0.11919632826444464
sum_invd_LH6_d5,156,-0.11222316213700727,-0.6814743877312182,0.11222316213700727
O_count_diff_H3_H6_d3,5,0.11139381773746615,0.37836876919598467,0.11139381773746615
first_O_H3_d10,82,-0.10156549367966973,0.44149243041366903,0.10156549367966973
Mg_count_sum_H3_H6_d3,6,-0.1014962445556668,-0.6457649699941603,0.1014962445556668
first_O_H3_d7,68,-0.10027134080113653,0.4427438242306074,0.10027134080113653
O_count_sum_H3_H6_d5,23,-0.09619510170864991,-0.6445324584019121,0.09619510170864991
Mg_H6_count_d3,4,-0.09472433956962126,-0.6322289246641046,0.09472433956962126
Mg_H3_count_d10,69,0.08466596245010696,-0.44322405768009354,0.08466596245010696
max_invd_LH3_d3,18,-0.07578441107363441,-0.3729281973914256,0.07578441107363441
top3_invd_LH3_d3,18,-0.07540435118464797,-0.3734255569818093,0.07540435118464797
Mg_H6_count_d5,14,-0.0753600503946148,-0.7010830765123006,0.0753600503946148
sum_invd_LH3_d3,18,-0.07517443841229815,-0.373505322199135,0.07517443841229815
top3_invd_LH3_d10,170,0.07499706886210389,-0.44748847854105755,0.07499706886210389
top3_invd_LH3_d7,148,0.07327404034219788,-0.44736146923607145,0.07327404034219788
invd_sum_total_H3_H6_d5,157,-0.07085697216454008,-0.6672192808994891,0.07085697216454008
Mg_count_diff_H3_H6_d3,5,0.0701570381079114,0.5534844140245788,0.0701570381079114
sum_invd_LH3_d10,170,0.06930087251359553,-0.4424664736836582,0.06930087251359553
n_events_d5,41,-0.06703666071709441,-0.6606685490508207,0.06703666071709441
first_invd_LH3_d,86,-0.0653124728641106,0.4440124369608065,0.0653124728641106
first_invd_LH3,170,0.06376100402370832,-0.442959880775679,0.06376100402370832
max_invd_LH3_d10,170,0.06376100402370832,-0.442959880775679,0.06376100402370832
max_invd_LH3_d7,148,0.06344620645430622,-0.4438373107691295,0.06344620645430622
O_H3_count_d3,4,-0.062258918895053465,-0.31231625416740727,0.062258918895053465
first_O_H3_d3,9,0.06206141701837242,0.31448395644994,0.06206141701837242
Mg_H3_count_d7,32,0.06163479064810459,-0.4522759741943137,0.06163479064810459
sum_invd_LH3_d7,148,0.05928738313058847,-0.4472355190896124,0.05928738313058847
first_Mg_H3_d7,74,-0.05819408642913717,0.45348935309260885,0.05819408642913717
first_Mg_H3_d10,91,-0.05792626045491114,0.45188281511258066,0.05792626045491114
O_H3_count_d7,30,0.05695987321200911,-0.44685189873510683,0.05695987321200911
O_count_sum_H3_H6_d7,47,-0.051404894507478295,-0.6619626571016837,0.051404894507478295
O_H3_count_d10,64,0.04915416278773671,-0.44394346751066516,0.04915416278773671
O_count_sum_H3_H6_d10,87,-0.049153795508002696,-0.6140941456039994,0.049153795508002696
Mg_count_sum_H3_H6_d5,22,-0.04783968001151689,-0.6804227761466065,0.04783968001151689
