axis_angle_deg,surface_feature_value,pred_mean,pred_std,interval_width_95,lower_95,upper_95,surface_feature,surface_feature_label,grid_kind,reference_file_key,reference_tilt_deg_proxy,reference_deviation_deg
57.584210550220234,0.0,14.290484474997019,2.34653633792074,9.19825342147832,9.691357764257859,18.88961118573618,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
59.261908799416915,0.0,15.287688283352043,1.3224326943406752,5.183840905771978,12.695767830466053,17.879608736238033,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
60.93960704861361,0.0,17.181711693440636,0.8751351646832547,3.4304668087674166,15.466478289056928,18.896945097824343,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-22.94530541122073,2.3616111541250753,40.13779895538192,11.182224964889896,43.833516396417735,18.22104075717305,62.054557153590785,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-21.267607162024042,2.3616111541250753,40.12962424005254,11.111407552331686,43.55591724023292,18.35166561993608,61.907582860169,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-19.589908912827354,2.3616111541250753,40.13692887966516,11.043441824538174,43.28949648291625,18.49218063820704,61.78167712112329,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-17.91221066363067,2.3616111541250753,40.16108188322371,10.977697343560756,43.03178285312021,18.645190456663602,61.67697330978382,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-16.234512414433983,2.3616111541250753,40.20235371350961,10.913538743426578,42.78028576199722,18.812210832511,61.59249659450822,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-14.556814165237295,2.3616111541250753,40.259778202840856,10.85035679221533,42.532617064303196,18.993469670689258,61.526086734992454,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-12.87911591604061,2.3616111541250753,40.33113677170313,10.787589297534423,42.286573006354416,19.18785026852592,61.47442327488034,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-11.201417666843923,2.3616111541250753,40.41305695610211,10.724737357484091,42.04019792864018,19.39295799178202,61.4331559204222,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-9.523719417647236,2.3616111541250753,40.50119968613936,10.661380423613142,41.79184331152429,19.605278030377214,61.3971213419015,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-7.846021168450548,2.3616111541250753,40.59050074445555,10.597190689771987,41.54022417851253,19.82038865519928,61.36061283371181,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
