file_key,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin,fold_seed123,nearest_train_axis_angle_deg,train_count_within_5deg,nearest_train_antiparallel_deviation_deg,best_gpr_pred,best_gpr_std,rf_pred,best_gpr_abs_error,rf_abs_error
0-0-2-3-1,24.7,167.05267345415882,-12.947326545841232,-12.920053264929672,-12.93368990538545,0.027273280911529696,179.97272671908814,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",7,0.0,7,0.0,36.54104534475951,6.57921254150342,34.3079451173323,11.841045344759511,9.607945117332303
0-0-2-6-2,43.28,-177.7782598388651,2.221740161134889,2.282555522645296,2.252147841890092,0.06081536151038176,179.93918463848925,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)",10,0.37498420479318956,9,0.0006921536053345126,39.05648619490642,6.722254359111158,35.5718299201498,4.223513805093582,7.708170079850198
0-0-2-6-3,42.98,-177.41519595220367,2.584804047796338,2.6694600455702253,2.6271320466832817,0.08465599777384926,179.91534400222622,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)",8,0.27689199043463475,11,0.0004975821834925925,40.32854175145269,5.87882401538526,42.3146236075093,2.651458248547307,0.6653763924906997
0-0-2-6-4,42.61,-176.84672013566572,3.1532798643342796,3.2635074881473285,3.208393676240804,0.11022762381302917,179.8897723761866,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)",7,0.3043696391228873,11,0.006168369281316255,40.145912149490265,4.419676182560076,39.2228277523545,2.464087850509735,3.387172247645502
0-0-2-6-5,42.03,-176.05631191664364,3.943688083356371,4.081970172869982,4.012829128113177,0.13828208951357382,179.86171791048622,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)",10,0.8044354518723729,10,0.002098183058631853,40.093782404468485,4.789959749267776,41.1177413340639,1.9362175955315166,0.9122586659361005
0-0-2-6-6,41.1,-175.02060623592553,4.97939376407446,5.149086367379126,5.064240065726794,0.1696926033046527,179.83030739669556,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)",5,1.051410937613617,11,0.001538059062467928,40.68548179205524,2.95377358699203,41.937317367845,0.41451820794475935,0.8373173678449959
0-0-2-6-7,39.86,-173.70817062646012,6.291829373539884,6.497323098213416,6.3945762358766505,0.20549372467350963,179.79450627532685,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)",9,1.717499527990299e-13,15,3.307909501870654e-13,39.00117786451671,3.3724661047863345,39.5036817866228,0.8588221354832868,0.35631821337720027
0-0-2-6-8,38.45,-172.07791063316844,7.922089366831545,8.169009703882235,8.04554953535689,0.2469203370506507,179.75307966294903,"[-10,10)","[-10,10)","[-10,10)","[0,0.25)",4,0.0,18,0.0,38.19648872308325,3.492757784333635,38.6349523655303,0.253511276916754,0.18495236553030026
0-0-2-6-9,37.02,-170.07712646177515,9.922873538224842,10.218308248698534,10.070590893461688,0.29543471047367165,179.70456528952624,"[-10,10)","[10,30)","[10,30)","[0.25,0.5)",5,3.0851380410196113e-13,19,5.088707233369405e-13,39.53284035661185,4.178951998369807,40.2902568657351,2.5128403566118465,3.2702568657350994
0-0-2-9-12,43.0,-146.69383452846455,33.306165471535444,33.80749118207852,33.556828326806986,0.5013257105430575,179.4986742894571,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",7,0.7834414532159463,15,0.0007535850931856825,38.53022289067984,4.388816210877717,41.2614414886659,4.469777109320162,1.738558511334098
